Unnamed: 0,Pickup_Date,Number of Trips,Number of Vehicles,humidity,wind,price,month,day
0,2005-01-01,26,17,0.77,11.25,5,1,Saturday
1,2005-01-02,45,24,0.76,11.32,11,1,Sunday
2,2005-01-03,731,36,0.76,11.07,7,1,Monday
3,2005-01-04,10,9,0.77,11.09,26,1,Tuesday
4,2005-01-05,814,62,0.75,11.49,9,1,Wednesday
5,2005-01-06,220,46,0.77,11.49,16.5,1,Thursday
6,2005-01-07,36,28,0.77,11.46,10.5,1,Friday
7,2005-01-08,1137,106,0.77,11.37,16.5,1,Saturday
8,2005-01-09,236,103,0.78,11.28,3,1,Sunday
9,2005-01-10,47,29,0.75,11.58,27.5,1,Monday
10,2005-01-11,1792,119,0.78,11.41,13.5,1,Tuesday
11,2005-01-12,23,13,0.71,8.3,7,1,Wednesday
12,2005-01-13,83,20,0.71,8.3,12,1,Thursday
13,2005-01-14,1846,86,0.71,8.24,16,1,Friday
14,2005-01-15,57,39,0.72,8.28,7.5,1,Saturday
15,2005-01-16,9,8,0.71,8.35,7.5,1,Sunday
16,2005-01-17,4,2,0.71,8.31,26,1,Monday
17,2005-01-18,81,37,0.71,8.32,5.5,1,Tuesday
18,2005-01-19,1765,579,0.73,10.87,11,1,Wednesday
19,2005-01-20,766,65,0.72,8.31,11,1,Thursday
20,2005-01-21,445,46,0.71,8.36,16.5,1,Friday
21,2005-01-22,704,69,0.72,8.34,7,1,Saturday
22,2005-01-23,741,65,0.74,10.88,3.5,1,Sunday
23,2005-01-24,87,58,0.9,10.09,26,1,Monday
24,2005-01-25,485,49,0.91,9.74,13.5,1,Tuesday
25,2005-01-26,23,12,0.66,10.67,8.5,1,Wednesday
26,2005-01-27,581,43,0.67,10.69,15,1,Thursday
27,2005-01-28,996,95,0.66,10.53,20.5,1,Friday
28,2005-01-29,633,78,0.67,10.59,8.5,1,Saturday
29,2005-01-30,390,49,0.66,10.79,7,1,Sunday
30,2005-01-31,10,10,0.66,10.73,27.5,1,Monday
31,2005-02-01,1234,120,0.66,10.75,11,2,Tuesday
32,2005-02-02,1035,97,0.67,10.66,3.5,2,Wednesday
33,2005-02-03,543,78,0.66,10.8,11,2,Thursday
34,2005-02-04,13,8,0.67,10.75,19.5,2,Friday
35,2005-02-05,1841,136,0.67,10.69,26,2,Saturday
36,2005-02-06,61,12,0.8,2.96,16.5,2,Sunday
37,2005-02-07,380,49,0.81,2.99,29.5,2,Monday
38,2005-02-08,1195,92,0.8,2.84,9.5,2,Tuesday
39,2005-02-09,20,1,0.81,2.88,15,2,Wednesday
40,2005-02-10,27,23,0.81,3.07,11,2,Thursday
41,2005-02-11,341,41,0.81,3.04,9.5,2,Friday
42,2005-02-12,169,51,0.81,3.05,22,2,Saturday
43,2005-02-13,20,8,0.81,3.01,9,2,Sunday
44,2005-02-14,25,16,0.81,2.94,5,2,Monday
45,2005-02-15,15,6,0.81,3.07,9,2,Tuesday
46,2005-02-16,3,3,0.82,3.03,16.5,2,Wednesday
47,2005-02-17,1263,67,0.86,6.47,26,2,Thursday
48,2005-02-18,53,32,0.86,6.48,13.5,2,Friday
49,2005-02-19,14,4,0.85,6.43,19.5,2,Saturday
50,2005-02-20,28,23,0.85,6.44,7,2,Sunday
51,2005-02-21,8,3,0.85,6.5,9,2,Monday
52,2005-02-22,1,1,0.86,6.5,10.5,2,Tuesday
53,2005-02-23,1,1,0.86,6.51,3,2,Wednesday
54,2005-02-24,54,1,0.86,6.5,5,2,Thursday
55,2005-02-25,1778,84,0.85,6.46,13.5,2,Friday
56,2005-02-26,78,43,0.85,6.5,11,2,Saturday
57,2005-02-27,79,42,0.85,6.49,26,2,Sunday
58,2005-02-28,110,62,0.86,6.49,16.5,2,Monday
59,2005-03-01,1136,46,0.95,1.39,7,3,Tuesday
60,2005-03-02,26,22,0.9,5.58,11,3,Wednesday
61,2005-03-03,830,82,0.9,5.64,9.5,3,Thursday
62,2005-03-04,354,72,0.89,5.51,16.5,3,Friday
63,2005-03-05,78,51,0.87,5.68,7,3,Saturday
64,2005-03-06,1008,129,0.9,5.69,9.5,3,Sunday
65,2005-03-07,320,162,0.9,5.7,27.5,3,Monday
66,2005-03-08,91,43,0.9,5.68,13,3,Tuesday
67,2005-03-09,1697,152,0.91,5.53,9.5,3,Wednesday
68,2005-03-10,78,41,0.91,5.64,9.5,3,Thursday
69,2005-03-11,179,46,0.91,5.66,11,3,Friday
70,2005-03-12,1180,112,0.61,3.39,7,3,Saturday
71,2005-03-13,136,73,0.61,3.39,13.5,3,Sunday
72,2005-03-14,14,11,0.61,3.38,26,3,Monday
73,2005-03-15,5,3,0.61,3.38,13.5,3,Tuesday
74,2005-03-16,121,58,0.6,3.4,5,3,Wednesday
75,2005-03-17,1867,651,0.61,3.4,16.5,3,Thursday
76,2005-03-18,594,76,0.61,3.4,9.5,3,Friday
77,2005-03-19,643,58,0.61,3.39,9.5,3,Saturday
78,2005-03-20,674,84,0.61,3.39,17,3,Sunday
79,2005-03-21,830,98,0.61,3.39,10,3,Monday
80,2005-03-22,142,88,0.81,6.46,34,3,Tuesday
81,2005-03-23,451,61,0.81,6.44,26,3,Wednesday
82,2005-03-24,76,32,0.8,6.44,11,3,Thursday
83,2005-03-25,1117,71,0.8,6.47,18.5,3,Friday
84,2005-03-26,1341,140,0.81,6.46,11,3,Saturday
85,2005-03-27,705,108,0.81,6.43,11,3,Sunday
86,2005-03-28,506,96,0.81,6.43,11,3,Monday
87,2005-03-29,8,8,0.81,6.42,11,3,Tuesday
88,2005-03-30,1592,143,0.8,6.49,36,3,Wednesday
89,2005-03-31,1062,138,0.81,6.47,27.5,3,Thursday
90,2005-04-01,684,106,0.81,6.46,22.5,4,Friday
91,2005-04-02,52,23,0.81,6.49,16.5,4,Saturday
92,2005-04-03,2170,183,0.69,11.01,10.5,4,Sunday
93,2005-04-04,66,14,0.69,11.05,32.5,4,Monday
94,2005-04-05,411,56,0.69,10.84,19.5,4,Tuesday
95,2005-04-06,677,131,0.7,10.9,7,4,Wednesday
