end_location_lat,end_location_long,driver_rating,car_rating,start_location_long,start_location_lat,color,make
30.27,-97.75,5,4,-97.75,30.27,Black,Cadillac
30.27,-97.74,4,4,-97.75,30.27,Black,Cadillac
38.68,-121.04,5,2,-121.07,38.65,Gray,Bentley
38.68,-121.04,5,2,-121.04,38.68,Gray,Bentley
38.68,-121.04,5,5,-121.04,38.68,Gray,Bentley
30.27,-97.74,3,3,-97.76,30.25,Black,Cadillac
30.27,-97.75,3,2,-97.75,30.27,Black,Cadillac
30.27,-97.75,4,4,-97.75,30.26,Black,Cadillac
30.27,-97.75,5,2,-97.77,30.2,Black,Infiniti
30.24,-97.78,3,2,-97.75,30.27,Black,Cadillac
30.2,-97.77,3,5,-97.74,30.27,Silver,Toyota
30.2,-97.67,5,4,-97.75,30.24,White,Nissan
30.27,-97.74,3,4,-97.8,30.21,Black,Cadillac
30.31,-97.75,4,5,-97.74,30.29,Black,Cadillac
30.29,-97.74,3,5,-97.75,30.31,Black,Cadillac
30.27,-97.75,3,5,-97.74,30.26,Black,Cadillac
30.27,-97.75,5,4,-97.75,30.25,Black,Cadillac
30.25,-97.75,4,3,-97.75,30.27,Black,Cadillac
30.27,-97.74,3,2,-97.75,30.27,Gray,Toyota
30.26,-97.75,5,4,-97.77,30.31,White,Nissan
30.31,-97.73,5,5,-97.75,30.29,White,Chevrolet
30.24,-97.72,5,3,-97.74,30.27,White,Chevrolet
30.26,-97.74,4,2,-97.75,30.26,White,Chevrolet
30.28,-97.75,3,4,-97.76,30.27,White,Chevrolet
30.31,-97.74,4,4,-97.74,30.27,White,Chevrolet
30.27,-97.76,4,3,-97.75,30.27,Black,Cadillac
30.27,-97.75,5,4,-97.74,30.28,Black,Cadillac
30.28,-97.75,5,4,-97.75,30.27,Black,Cadillac
30.26,-97.72,5,2,-97.75,30.27,Brown,BMW
30.2,-97.67,5,2,-97.71,30.25,Gray,Mercedes-Benz
30.27,-97.75,5,2,-97.73,30.27,Gray,Mercedes-Benz
30.3,-97.72,5,2,-97.71,30.33,Silver,BMW
30.27,-97.75,5,4,-97.75,30.28,Brown,BMW
30.27,-97.75,5,4,-97.75,30.28,Silver,BMW
30.26,-97.74,3,2,-97.75,30.27,Gray,Mercedes-Benz
30.27,-97.72,3,3,-97.67,30.2,Red,Cadillac
30.27,-97.75,3,2,-97.74,30.26,Brown,Ford
30.36,-97.73,4,3,-97.75,30.27,White,Chevrolet
30.26,-97.74,3,2,-97.74,30.3,White,Chevrolet
30.3,-97.75,5,3,-97.72,30.24,Brown,Ford
30.29,-97.75,4,3,-97.74,30.29,Brown,Ford
30.27,-97.75,4,4,-97.76,30.3,Black,Cadillac
30.25,-97.78,4,2,-97.72,30.26,Gray,Mercedes-Benz
30.26,-97.72,5,2,-97.72,30.28,Silver,Toyota
30.28,-97.74,4,5,-97.75,30.27,Brown,BMW
30.24,-97.72,4,4,-97.75,30.3,Brown,BMW
30.27,-97.75,5,5,-97.75,30.28,Black,Cadillac
30.27,-97.74,3,4,-97.75,30.25,Gray,Toyota
30.33,-97.71,4,2,-97.74,30.27,White,Nissan
30.29,-97.72,4,5,-97.76,30.26,Black,Ford
30.33,-97.71,3,3,-97.71,30.33,White,Mercedes-Benz
30.27,-97.8,5,2,-97.75,30.27,Black,Volkswagen
30.28,-97.76,5,2,-97.75,30.27,Black,Volkswagen
30.25,-97.75,5,3,-97.75,30.28,Black,Volkswagen
30.29,-97.74,3,5,-97.73,30.29,Black,Ford
30.28,-97.75,4,2,-97.71,30.33,Gray,Toyota
30.27,-97.75,4,5,-97.76,30.28,Black,Ford
30.26,-97.76,5,4,-97.72,30.29,Black,Cadillac
30.26,-97.74,5,2,-97.75,30.28,Black,Dodge
30.27,-97.75,5,4,-97.75,30.25,White,Nissan
30.26,-97.72,3,3,-97.74,30.25,Gray,Toyota
30.25,-97.75,3,4,-97.75,30.27,Black,Cadillac
30.27,-97.75,5,3,-97.81,30.28,White,Nissan
30.28,-97.74,5,5,-97.8,30.27,Black,Dodge
30.25,-97.74,4,3,-97.72,30.26,Black,Lexus
30.28,-97.75,5,3,-97.75,30.25,Black,Lexus
30.27,-97.75,4,2,-97.67,30.2,White,Chevrolet
30.3,-97.74,3,3,-97.75,30.27,Black,Hyundai
30.27,-97.74,3,4,-97.75,30.27,Brown,BMW
30.24,-97.7,5,3,-97.75,30.28,Brown,BMW
30.2,-97.67,5,5,-97.75,30.26,Brown,BMW
30.24,-97.74,3,5,-97.75,30.24,Brown,BMW
30.28,-97.74,3,4,-97.7,30.24,Brown,BMW
30.33,-97.71,4,5,-97.73,30.29,Silver,BMW
30.27,-97.74,4,3,-97.75,30.29,White,Mercedes-Benz
30.27,-97.74,5,4,-97.72,30.27,Brown,Ford
30.24,-97.75,5,3,-97.74,30.24,Red,Cadillac
30.28,-97.74,4,4,-97.74,30.27,Silver,Toyota
